id_municipio,nombre,id_provincia
235,MORCÍN,5
236,MUROS DE NALÓN,5
237,NAVA,5
238,NAVIA,5
239,NOREÑA,5
240,OVIEDO,5
241,PARRES,5
242,PEÑAMELLERA BAJA,5
243,PILOÑA,5
244,PRAVIA,5
245,PROAZA,5
246,RIBADEDEVA,5
247,RIBADESELLA,5
248,RIBERA DE ARRIBA,5
249,SALAS,5
250,SAN MARTÍN DE OSCOS,5
251,SAN MARTÍN DEL REY AURELIO,5
252,SAN TIRSO DE ABRES,5
253,SIERO,5
254,SOTO DEL BARCO,5
255,TAPIA DE CASARIEGO,5
256,TEVERGA,5
257,TINEO,5
258,VALDÉS,5
259,VEGADEO,5
260,VILLAVICIOSA,5
261,ADANERO,6
262,ADRADA (LA),6
263,ALDEASECA,6
264,ARENAS DE SAN PEDRO,6
265,ARÉVALO,6
266,ÁVILA,6
267,BARCO DE ÁVILA (EL),6
268,BARRACO (EL),6
269,BLASCOSANCHO,6
270,BURGOHONDO,6
271,CANDELEDA,6
272,CEBREROS,6
273,COLILLA (LA),6
274,CRESPOS,6
275,ESPINOSA DE LOS CABALLEROS,6
276,FONTIVEROS,6
277,HERNANSANCHO,6
278,HOYO DE PINARES (EL),6
279,MADRIGAL DE LAS ALTAS TORRES,6
280,MINGORRÍA,6
281,MOMBELTRÁN,6
282,MUÑANA,6
283,MUÑICO,6
284,MUÑOGRANDE,6
285,NAVA DE ARÉVALO,6
286,NAVALPERAL DE PINARES,6
287,NAVALUENGA,6
288,NAVARREDONDA DE GREDOS,6
289,NAVARREDONDILLA,6
290,NAVAS DEL MARQUÉS (LAS),6
291,ORBITA,6
292,PALACIOS DE GODA,6
293,PEDRO BERNARDO,6
294,PIEDRAHÍTA,6
295,SAN ESTEBAN DEL VALLE,6
296,SAN PEDRO DEL ARROYO,6
297,SANCHIDRIÁN,6
298,SOLOSANCHO,6
299,SOTILLO DE LA ADRADA,6
300,TIEMBLO (EL),6
301,TORRE (LA),6
302,VELAYOS,6
303,VILLANUEVA DEL ACERAL,6
304,ACEDERA,7
305,ACEUCHAL,7
306,AHILLONES,7
307,ALANGE,7
308,ALBUERA (LA),7
309,ALBURQUERQUE,7
310,ALCONCHEL,7
311,ALMENDRAL,7
312,ALMENDRALEJO,7
313,ARROYO DE SAN SERVÁN,7
314,AZUAGA,7
315,BADAJOZ,7
316,BARCARROTA,7
317,BERLANGA,7
318,BIENVENIDA,7
319,BURGUILLOS DEL CERRO,7
320,CABEZA DEL BUEY,7
321,CABEZA LA VACA,7
322,CALAMONTE,7
