id_localidad,nombre,id_municipio
240,LUKO,191
241,ZURBANO,191
242,ARTZINIEGA,192
243,ARAIA,193
244,SANTA CRUZ CAMPEZO,194
245,ELBURGO/BURGELU,195
246,NANCLARES DE LA OCA,196
247,SALINILLAS DE BURADON,197
248,LAGUARDIA,198
249,PUENTELARRÁ/LARRAZUBI,199
250,LAUDIO/LLODIO,200
251,OYON-OION,201
252,POBES,202
253,IGAY,203
254,RIBABELLOSA,203
255,ALANGUA,204
256,SALVATIERRA O AGURAIN,204
257,DURRUMA/SAN ROMAN DE SAN,205
258,VITORIA-GASTEIZ,206
259,ABERASTURI,206
260,SUBIJANA DE ALAVA,206
261,ZUAZO DE VITORIA/ZUHATZU,206
262,ARANGUIZ,206
263,LOPIDANA,206
264,ALTUBE,207
265,MURGIA,207
266,POLA DE ALLANDE,208
267,MOREDA,209
268,CABORANA,209
269,AVILES,210
270,VILLALEGRE (AVILES),210
271,LLARANES,210
272,BELMONTE,211
273,BOAL,212
274,ARENAS (LAS),213
275,CANGAS DE ONIS,214
276,COVIELLA,214
277,CANGAS DEL NARCEA,215
278,TEBONGO,215
279,BARCA (LA),216
280,CARREÑO,216
281,PERLORA,216
282,TAM ON,216
283,PIEDRAS BLANCAS,217
284,CRUZ DE ILLAS (LA),217
285,SALINAS,217
286,FIGUERAS,218
287,BARRES,218
288,JARRIO,219
289,CARTAVIO,219
290,COLUNGA,220
291,CAMPOS (LOS),221
292,SAMA DE ABAJO,221
293,SILVOTA,221
294,TRASMONTE,221
295,CORVERA DE ASTURIAS,221
296,CUDILLERO,222
297,SAN COSME,222
298,NOVELLANA,222
299,PITO EL,222
300,CARIDAD (LA),223
301,VALDEPARES,223
302,GIJON,224
303,LLOREDA,224
304,GRANDA DE ABAJO,224
305,MAREO DE ABAJO,224
306,AGUDA,224
307,VERIÑA,224
308,NEMBRO,225
309,GRADO,226
310,GRANDAS DE SALIME,227
311,SAN ANTOLIN,228
312,LANGREO,229
313,VISO (EL),229
314,SAMA DE LANGREO,229
315,FELGUERA (LANGREO) LA,229
316,POLA DE LAVIANA,230
317,POLA DE LENA,231
318,POSADA,232
319,CORUÑO,232
320,ROBLEDO,232
321,PRUVIA,232
322,LLANERA,232
323,SILVOTA (LLANERA-POL. INDUSTRIAL),232
324,LLANES,233
325,POSADA,233
326,PIÑERES,233
327,SAN ROQUE DEL ACEBAL,233
328,MIERES,234
329,SANTULLANO,234
330,CORTINA,234
331,ARGAME,235
332,MUROS,236
333,NAVA,237
334,NAVIA,238
335,NOREÑA,239
336,OVIEDO,240
337,CERDEÑO,240
338,COLLOTO,240
339,CUYENCES,240
340,PANDO (EL),240
341,TRUBIA,240
342,ARRIONDAS,241
343,PANES,242
344,SEVARES,243
345,PILOÑA,243
346,PRAVIA,244
347,PROAZA,245
348,COLOMBRES,246
349,ANDINAS,246
350,RIBADESELLA,247
351,FERREROS,248
352,SALAS,249
353,CASAZORRINA,249
354,ESPINA (LA),249
355,CORNELLANA,249
356,SANTIAGO DE LA BARCA,249
357,SAN MARTIN DE OSCOS,250
358,SOTRONDIO,251
359,ENTREGO (EL),251
360,SAN ANDRES,252
361,CARBAYIN ALTO,253
362,BOBES,253
363,BERRON (EL),253
364,FERRERA,253
365,CARRERA (LA),253
366,POLA DE SIERO,253
367,GRANDA,253
368,MERES,253
369,LUGONES,253
370,VIELLA,253
371,MARCENADO,253
372,SIERO,253
373,CARCEDO (SOTO BARCO),254
374,RIBERAS (SOTO DEL BARCO),254
375,TAPIA DE CASARIEGO,255
376,CORTAFICIO,255
377,SAN MARTIN,256
378,TINEO,257
379,NAVELGAS,257
380,LUARCA,258
381,ALMUÑA,258
382,OTUR,258
383,BRIEVES,258
384,TREVIAS,258
385,MUÑAS,258
386,AYONES,258
387,VEGADEO,259
388,VILLAVICIOSA,260
389,VENTA LAS RANAS,260
390,ADANERO,261
391,ADRADA (LA),262
392,ALDEASECA,263
393,ARENAS DE SAN PEDRO,264
394,RAMACASTAÑAS,264
395,AREVALO,265
396,AVILA,266
397,BARCO DE AVILA (EL),267
398,BARRACO (EL),268
399,BLASCOSANCHO,269
400,BURGOHONDO,270
401,CANDELEDA,271
402,CEBREROS,272
403,COLILLA (LA),273
404,CHAHERRERO,274
405,ESPINOSA DE LOS CABALLEROS,275
406,FONTIVEROS,276
407,HERNANSANCHO,277
408,HOYO DE PINARES (EL),278
409,MADRIGAL ALTAS TORRES,279
410,MINGORRIA,280
411,MOMBELTRAN,281
412,MUÑANA,282
413,MUÑICO,283
414,MUÑOGRANDE,284
415,NAVA DE AREVALO,285
416,NAVALPERAL DE PINARES,286
417,NAVALUENGA,287
418,NAVARREDONDA DE GREDOS,288
419,NAVARREDONDILLA,289
420,NAVAS DEL MARQUES (LAS),290
421,ORBITA,291
422,PALACIOS DE GODA,292
423,PEDRO BERNARDO,293
424,PIEDRAHITA,294
425,SAN ESTEBAN DEL VALLE,295
426,SAN PEDRO DEL ARROYO,296
427,SANCHIDRIAN,297
428,SOLOSANCHO,298
429,SOTILLO DE LA ADRADA,299
430,TIEMBLO (EL),300
431,TORRE (LA),301
432,VELAYOS,302
433,VILLANUEVA DEL ACERAL,303
434,GUADALPERALES (LOS),304
435,ACEUCHAL,305
436,AHILLONES,306
437,ALANGE,307
438,ALBUERA (LA),308
439,ALBURQUERQUE,309
440,ALCONCHEL,310
441,ALMENDRAL,311
442,ALMENDRALEJO,312
443,ARROYO DE SAN SERVAN,313
444,AZUAGA,314
445,BADAJOZ,315
446,NOVELDA DEL GUADIANA,315
