id_estacion,Dirección,Código postal,Latitud,Longitud,Tipo,Rótulo,Tipo venta,Rem.,Margen,id_localidad
45,BARRIO LA BARQUERIA 151-ES,39130,43.447167,-3.766472,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,4303
46,AVDA. ANTONIO GARELY S/Nº,39540,43.385014,-4.397755,maritima,REPSOL,Suministro a pesqueros,OM,A,1181
47,PUERTO PSQUERO,39009,43.449222,-3.821333,maritima,REPSOL,Suministro a pesqueros,OM,A,1187
48,MUELLE PESQUERO S/Nº,39740,43.441959,-3.463310,maritima,REPSOL,Suministro a pesqueros,OM,A,1192
49,MUELLE PESQUERO S/Nº,39340,43.425292,-4.035255,maritima,REPSOL,Suministro a pesqueros,OM,A,1195
50,PM PUERTO DEPORTIVO LAS FUENTES DE ALCOCEBRE,12579,40.247972,0.280667,maritima,SIN ROTULO,Suministro a barcos deportivos o de recreo,dm,A,1214
51,MUELLE DE PONIENTE,12530,39.859056,-0.069139,maritima,MARINA BURRIANANOVA S.A.,Suministro a barcos deportivos o de recreo,dm,A,1230
52,ESCOLLERA DE PONIENTE S/N,12100,39.968583,0.020639,maritima,REAL CLUB NAUTICO DE CASTELLON,Suministro a barcos deportivos o de recreo,dm,A,1233
53,MUELLE PESQUERO S/Nº,12100,39.966340,-0.019836,maritima,REPSOL,Suministro a pesqueros,OM,A,1233
54,PARTIDA DENOMINADA PUERTO DEPORTIVO,12594,40.081306,0.146806,maritima,CLUB NAUTICO DE OROPESA,Suministro a barcos deportivos o de recreo,dm,A,1248
54,PARTIDA DENOMINADA PUERTO DEPORTIVO,12594,40.081306,0.146806,maritima,CLUB NAUTICO DE OROPESA,Suministro a barcos deportivos o de recreo,dm,A,3827
55,EXPLANADA  DEL PUERTO S/N,12598,40.356417,0.406167,maritima,NINGUNO,Suministro a pesqueros,dm,A,1251
56,MUELLE PESQUERO S/Nº,15123,43.128027,-9.182914,maritima,REPSOL,Suministro a pesqueros,OM,A,4304
57,MUELLE PESQUERO S/Nº,15593,43.737749,-7.866525,maritima,REPSOL,Suministro a pesqueros,OM,A,1468
58,PASEO MARITIMO ALCALDE FCO VAZQUEZ S/N ,15001,43.366889,-8.383556,maritima,MARINA CORUÑA,Suministro a barcos deportivos o de recreo,dm,A,1480
59,DÁRSENA DE OZA S/Nº,15006,43.348582,-8.379303,maritima,REPSOL,Suministro a pesqueros,OM,A,1480
60,MUELLE DE CRUXEIRAS S/Nº,15401,43.478304,-8.244303,maritima,REPSOL,Mixto,OM,A,1498
61,MUELLE PESQUERO S/Nº,15155,42.907389,-9.259750,maritima,REPSOL,Suministro a pesqueros,OM,A,4305
62,MUELLE PESQUERO S/Nº,15117,43.223304,-9.001803,maritima,REPSOL,Suministro a pesqueros,OM,A,1507
63,MUELLE PESQUERO S/Nº,15113,43.323304,-8.808192,maritima,REPSOL,Suministro a pesqueros,OM,A,1508
64,MUELLE PESQUERO S/N,15250,42.776082,-9.055969,maritima,REPSOL,Mixto,OM,A,332
64,MUELLE PESQUERO S/N,15250,42.776082,-9.055969,maritima,REPSOL,Mixto,OM,A,1516
65,MUELLE PESQUERO S/Nº,15124,43.105804,-9.214858,maritima,REPSOL,Suministro a pesqueros,OM,A,1517
66,MUELLE COMERCIAL S/N,15940,42.609083,-8.935417,maritima,AVIA,Mixto,dm,A,1548
67,MUELLE PESQUERO S/Nº,15970,42.726638,-9.003469,maritima,REPSOL,Suministro a pesqueros,OM,A,1554
68,MUELLE PESQUERO S/Nº,15999,42.760804,-8.947358,maritima,REPSOL,Mixto,OM,A,4306
69,PORTO DE RIANXO S/N,15920,42.647389,-8.822417,maritima,VALCARCE,Mixto,dm,A,1555
70,MUELLE PESQUERO S/Nº,15960,42.561360,-8.989025,maritima,REPSOL,Suministro a pesqueros,OM,A,1557
71,MUELLE PESQUERO S/Nº,15160,43.362749,-8.246525,maritima,REPSOL,Suministro a pesqueros,OM,A,1559
